Localidad,Commercial,Transport,pcorr,pval
ANTONIO NARIÑO,Wholesale,Transmilenio,-0.184639995,1.08E-11
ANTONIO NARIÑO,Wholesale,SITP,-0.060257031,0.005706873
ANTONIO NARIÑO,Wholesale,P.Vehiches,0.027533263,0.206904857
ANTONIO NARIÑO,Wholesale,Walking,-0.040092614,0.066028196
ANTONIO NARIÑO,Wholesale,Cycling,-0.097946916,7.20E-05
ANTONIO NARIÑO,Used Goods,Transmilenio,0.050616539,0.064577992
ANTONIO NARIÑO,Used Goods,SITP,0.155716663,6.94E-13
ANTONIO NARIÑO,Used Goods,P.Vehiches,0.131359079,1.48E-09
ANTONIO NARIÑO,Used Goods,Walking,0.103972202,1.77E-06
ANTONIO NARIÑO,Used Goods,Cycling,0.202952647,1.12E-16
ANTONIO NARIÑO,Retail,Transmilenio,-0.171587232,2.83E-10
ANTONIO NARIÑO,Retail,SITP,0.004626572,0.832073836
ANTONIO NARIÑO,Retail,P.Vehiches,0.002309688,0.915696636
ANTONIO NARIÑO,Retail,Walking,-0.095232445,1.22E-05
ANTONIO NARIÑO,Retail,Cycling,-0.046177012,0.061778165
ANTONIO NARIÑO,"Restaurants, Cafés and Bars",Transmilenio,0.026018848,0.342324998
ANTONIO NARIÑO,"Restaurants, Cafés and Bars",SITP,-0.070732231,0.001171171
ANTONIO NARIÑO,"Restaurants, Cafés and Bars",P.Vehiches,0.000850884,0.968892749
ANTONIO NARIÑO,"Restaurants, Cafés and Bars",Walking,-0.018700437,0.391368273
ANTONIO NARIÑO,"Restaurants, Cafés and Bars",Cycling,-0.002102636,0.932255455
ANTONIO NARIÑO,Personal Care,Transmilenio,0.006625873,0.808951466
ANTONIO NARIÑO,Personal Care,SITP,-0.120323336,3.12E-08
ANTONIO NARIÑO,Personal Care,P.Vehiches,0.082148282,0.000162379
ANTONIO NARIÑO,Personal Care,Walking,-0.049274208,0.023841781
ANTONIO NARIÑO,Personal Care,Cycling,0.026545249,0.283098091
ANTONIO NARIÑO,Cultural and Entertainment,Transmilenio,-0.090750215,0.000905673
ANTONIO NARIÑO,Cultural and Entertainment,SITP,0.08688696,6.62E-05
ANTONIO NARIÑO,Cultural and Entertainment,P.Vehiches,0.000251126,0.990817015
ANTONIO NARIÑO,Cultural and Entertainment,Walking,-0.037573066,0.084955919
ANTONIO NARIÑO,Cultural and Entertainment,Cycling,-0.082394519,0.000847493
ANTONIO NARIÑO,Banking and Post Offices,Transmilenio,0.02802416,0.31661034
ANTONIO NARIÑO,Banking and Post Offices,SITP,-0.089490179,7.00E-05
ANTONIO NARIÑO,Banking and Post Offices,P.Vehiches,0.140640339,3.66E-10
ANTONIO NARIÑO,Banking and Post Offices,Walking,-0.006461976,0.774448608
